Gene,Bayes Factor,Common Amplitude,Common 0.D Length-Scale,Common Time-Shift rep0,Common Time-Shift rep1,Common Time-Shift rep2,Common Time-Shift rep3,Common Time-Shift rep4,Common Time-Shift rep5,Common Time-Shift rep6,Common Time-Shift rep7,Common Sigma,Individual Amplitude,Individual 0.D Length-Scale,Individual Time-Shift rep0,Individual Time-Shift rep1,Individual Time-Shift rep2,Individual Time-Shift rep3,Individual Sigma
gene 1,-15.3616804751,0.616756460399,1.86910593625,0.855483171728,0.846720115912,0.918411434603,0.853901703258,-0.757775333519,-0.885514516647,-0.921332391787,-0.909893460802,0.0892440542648,0.989922687158,3.30876040018,0.0349753168868,-0.00497421400583,0.00907670360391,-0.0371064007466,0.0969521672509
gene 2,101.5853279,0.350625293845,1.78507596204,-0.810334730288,-0.836034325012,-0.783334961499,-0.828750773453,0.793370679405,0.826003600596,0.825464568329,0.813615858878,0.302439762289,0.442898916019,3.17307099713,0.06864054531,0.0141260415609,-0.11538296412,0.0374966915328,0.0904542693882
gene 3,104.167279237,0.517842445457,1.2438149625,0.302998935303,0.390867800746,0.317240170793,0.395448037553,-0.422825752602,-0.372157436821,-0.355593167714,-0.255979230076,0.377163334301,0.656544899344,1.93703611455,-0.0602243310566,0.0289526309162,-0.0299569766721,0.089347120381,0.098591486755
gene 4,104.79613237,0.915878682498,2.44292540696,-0.853208996456,-0.709273210024,-0.947380293983,-0.801386030435,0.763645902927,0.856669353896,0.813079259442,0.877865806662,0.366579837982,0.989689954843,3.81961661193,-0.118043199432,0.034398129827,0.0136452901861,0.0690221621179,0.104799056122
gene 5,-4.56420837838,0.65357548721,4.22112933049,-1.456269897,-1.76018860904,-1.60309509326,-1.31303599932,1.48407244691,1.57643277413,1.53540289618,1.53664944739,0.106664067491,0.895888216897,6.11308959878,0.0310020297336,-0.126875043436,-0.0348582918473,0.132445518334,0.103926530537
gene 6,126.387149299,0.51149292934,2.46478512255,-0.0231118294103,-0.0259850248885,-0.0609577074667,-0.0204219783997,-0.00400169703602,0.0238059713222,0.0876787089572,0.0229940457509,0.517115514807,0.705173390181,2.60431977962,0.0237814549169,0.0249924340161,-0.0633280998723,0.0240360443722,0.108195350913
gene 7,-7.00088152317,0.555770721988,3.79132778178,-0.15467785542,-0.153342849264,-0.0161228258905,0.0655131222642,-0.2566847265,0.0545921621182,0.275517658498,0.18520254532,0.0957798871765,0.705573100859,4.3100546524,-0.24727610631,-0.0653954504744,0.118170096708,0.143998678701,0.0920802618323
